gene_id	GBP-24	GBP-25	GBP-22	GBP-23	GPO-1	GPO-2	GPO-3	GPO-4	GBP-9	GBP-10	GBP-11	GBP-12	GBP-5	GBP-6	GBP-20	GBP-21	GBP-3	GBP-4	GBP-7	GBP-8	GBP-16	GBP-17	GBP-18	GBP-19	GPO-36	GPO-37	GPO-30	GPO-31	GPO-32	GPO-33	GPO-34	GPO-35	GPO-160	GPO-161
Ec-00_000450	3.982	4.331	3.59	3.625	2.123	5.031	1.947	4.386	3.054	2.8	3.811	8.107	5.799	1.697	5.143	4.389	2.771	3.122	6.524	7.397	1.66	3.739	5.042	5.329	0	0	0	0	0	0	0.221	0.748	4.071	4.356
Ec-00_000500	18.176	17.689	13.826	7.772	23.019	12.103	24.01	22.054	18.862	18.401	9.763	20.054	37.725	26.037	13.1	11.374	14.352	16.911	10.93	17.681	6.582	14.63	14.137	15.673	4.621	4.178	10.886	16.159	22.44	20.267	10.231	13.572	25.979	27.484
Ec-00_000510	3.905	4.247	4.847	4.19	2.377	11.746	4.756	4.522	5.875	5.728	7.494	6.617	5.855	11.67	6.791	6.636	7.896	5.792	10.209	13.698	5.997	4.458	7.228	5.061	1.626	0.898	3.432	1.534	3.299	4.454	4.773	3.139	9.752	9.753
Ec-00_000520	7.667	7.803	6.451	5.178	24.596	21.949	14.353	13.725	9.672	9.263	10.717	7.988	6.761	9.938	6.772	6.035	9.872	5.666	6.636	7.281	6.016	5.272	10.279	6.11	7.551	7.766	1.036	1.282	2.609	0.965	1.292	0.632	6.626	8.379
Ec-00_000530	22.2	23.837	10.679	16.505	23.835	26.489	16.185	13.52	11.043	8	13.095	8.686	2.924	8.312	12.623	14.519	14.575	10.067	7.817	18.655	8.408	9.869	21.607	17.417	0.16	0.764	7.483	1.807	10.742	10.639	8.928	6.676	24.077	23.547
Ec-00_000540	36.467	34.233	137.162	127.494	47.76	37.575	58.693	55.87	52.937	51.804	38.138	44.605	104.348	140.034	77.265	75.033	76.541	57.227	59.318	54.732	51.702	57.723	69.8	78.091	2.247	1.901	46.429	73.887	62.595	53.189	74.138	83.799	42.362	44.733
Ec-00_000550	6.097	5.15	4.731	4.672	6.464	11.27	3.923	7.869	5.124	8.804	3.687	6.909	6.978	4.408	5.451	4.003	7.407	3.801	5.142	5.448	7.653	7.273	9.8	7.225	0	0	0.327	1.168	1.905	1.043	1.692	0.956	2.5	2.542
Ec-00_000560	4.229	4.094	5.802	5.191	5.578	15.579	6.51	10.499	3.509	5.793	5.382	10.787	4.182	5.944	4.212	4.62	5.119	3.798	5.838	0.707	4.82	5.191	7.019	5.938	0.649	0.517	0.247	0.204	0.59	0.197	0.854	0.181	2.033	3.114
Ec-00_000570	9.303	9.938	8.734	8.842	12.134	25.298	14.87	16.158	5.344	10.427	10.299	12.498	10.461	5.819	6.067	4.928	15.618	7.85	11.224	9.497	8.149	7.803	8.845	10.012	0.894	0	3.066	6.747	5.284	4.897	4.999	4.86	2.977	2.826
Ec-00_000580	3.02	2.446	3.331	1.137	33.152	9.856	23.519	21.764	5.317	7.034	4.414	3.619	8.285	2.078	1.13	0.33	3.239	2.294	1.503	1.174	2.587	1.742	10.993	8.305	11.016	12.601	7.118	9.036	2.177	1.312	2.521	3.605	5.441	6.728
Ec-00_000590	16.71	14.49	17.835	13.348	56.366	44.234	64.071	39.761	63.354	86.332	44.852	50.666	47.979	47.706	34.715	29.506	50.219	55.077	42.363	83.072	141.521	143.783	76.352	80.635	61.215	51.218	27.941	37.339	67.85	54.893	59.481	59.517	34.739	41.017
Ec-00_000600	13.055	13.429	9.767	8.552	37.298	101.323	33.083	36.327	21.12	25.799	34.612	31.009	30.944	24.906	22.593	17.797	27.049	18.134	26.911	21.408	20.658	25.183	29	19.854	0.183	0.876	4.398	2.765	4.997	5.854	4.58	4.443	10.621	9.65
